"Personal Information","Personal Information"
"You can add the content here by adding a Static block with id %1","You can add the content here by adding a Static block with id %1"
"Login Information","Login Information"
"* Required Fields","* Required Fields"
Email,Email
Password,Password
"Password Strength","Password Strength"
"No Password","No Password"
"Confirm Password","Confirm Password"
"Previous Step","Previous Step"
"Next Step","Next Step"
"Create Seller Account","Create Seller Account"
